Diario;Titulo;link;Noticia
Pagina12;Si no hay vacunas, hay sarampión;https://www.pagina12.com.ar/186351-si-no-hay-vacunas-hay-sarampion;Desde octubre se detectaron 285 casos, 246 de ellos en menores de 18 años. La vacunación se volvió obligatoria en la ciudad.
Pagina12;Los wichí ya tienen su vademécum;https://www.pagina12.com.ar/186352-los-wichi-ya-tienen-su-vademecum;María Eugenia Suárez clasificó 115 plantas que poseen 408 usos medicinales. Las comunidades emplean diversas especies para problemas digestivos, respiratorios y dolores menstruales.
Pagina12;El derecho a ir a la escuela;https://www.pagina12.com.ar/186330-el-derecho-a-ir-a-la-escuela;El Gobierno reconoce que faltan más de 15.000 vacantes (más del 90 por ciento, en nivel inicial), pero las familias estiman que son más de 22.000. Ese déficit tiene fuerte impacto en las vidas de las mujeres-madres, que deben suplir al Estado.
Pagina12;Mal debut del jefe del Ejército;https://www.pagina12.com.ar/186319-mal-debut-del-jefe-del-ejercito;El flamante comandante en jefe del Ejército de Uruguay aseguró que no había pretendido desconocer la existencia de desaparecidos.
Pagina12;La fallida estrategia de EE.UU. en Venezuela;https://www.pagina12.com.ar/186316-la-fallida-estrategia-de-ee-uu-en-venezuela;La Fuerza Armada Nacional Bolivariana no se quebró y Juan Guaidó no logró manejar los hilos del poder. Tampoco funcionó la amenaza de una intervención.
Pagina12;Netanyahu y Gantz van cabeza a cabeza en Israel;https://www.pagina12.com.ar/186376-netanyahu-y-gantz-van-cabeza-a-cabeza-en-israel;La mayoría de los sondeos daban al Azul y Blanco de Gantz como el partido más votado, con una ventaja de entre tres y seis escaños.
Pagina12;Telefonazo de May para salvar el plan de Brexit;https://www.pagina12.com.ar/186374-telefonazo-de-may-para-salvar-el-plan-de-brexit;Retrasar la salida significaría que el gobierno y la oposición laborista puedan negociar un acuerdo que pueda superar el trámite parlamentario.
Pagina12;A un punto de los octavos de final;https://www.pagina12.com.ar/186383-a-un-punto-de-los-octavos-de-final;El equipo de Almirón obtuvo una victoria que lo posiciona de inmejorable manera para avanzar de fase en la Copa Libertadores.
Pagina12;Un cruce clave para acercarse a octavos;https://www.pagina12.com.ar/186344-un-cruce-clave-para-acercarse-a-octavos;El entrenador Gustavo Alfaro pondrá el mejor equipo posible para intentar quedarse con los tres puntos y posicionarse en el muy parejo Grupo G.
Pagina12;Dos países para la Copa América 2020;https://www.pagina12.com.ar/186308-dos-paises-para-la-copa-america-2020;La Conmebol confirmó la realización conjunta del certamen continental, con nuevo formato. Habrá dos zonas: norte y sur, y más partidos.
Pagina12;Se volvió con las manos vacías;https://www.pagina12.com.ar/186313-se-volvio-con-las-manos-vacias;El equipo mendocino salió a jugar de igual a igual, pero se encontró con un rival que lo superó, marcó diferencias en el primer tiempo y luego supo administrar la ventaja, a pesar del descuento del Tomba en el final del partido.
Pagina12;Un lusitano marcado por el mejor cine japonés;https://www.pagina12.com.ar/186372-un-lusitano-marcado-por-el-mejor-cine-japones;El festival porteño reúne la totalidad de las colaboraciones entre el cineasta y la actriz, diez películas que están entre las cumbres del cine portugués.
Pagina12;Dos miradas sobre los espacios publicitarios;https://www.pagina12.com.ar/186349-dos-miradas-sobre-los-espacios-publicitarios;El PJ y Cambiemos coincidieron en remarcar supuestas irregularidades.El socialista De Pollina advirtió sobre la intención de privatizar el escrutinio.
Pagina12;Alegorías bien temperadas;https://www.pagina12.com.ar/186373-alegorias-bien-temperadas;La película uruguaya hace de un pueblo costero un mundo mientras que la aventura sci-fi sueca convierte el espacio exterior en interior.
Pagina12;El valor de lo colectivo;https://www.pagina12.com.ar/186306-el-valor-de-lo-colectivo;Por primera vez se hará en Buenos Aires este encuentro bienal que fomenta el intercambio entre artistas de la región.
Pagina12;Todas las hojas son del viento;https://www.pagina12.com.ar/186304-todas-las-hojas-son-del-viento;Inspirados por la estación, Melani Luraschi, Sebastián Casafúa, Tomás Aristimuño y Luvi Torres mostrarán sus músicas en el Xirgu Espacio Untref.
Telam;Huracán se durmió y Cruzeiro aprovechó para sacar ventaja;http://www.telam.com.ar/advf/imagenes/2019/04/5caddad2554c4.jpg;El equipo dirigido por Antonio Mohamed cae por 2 a 0 ante los brasileños, en uno de los choques por la zona de grupos del torneo continental. Fred, fue el autor de los dos tantos locales, a los 19 y 23 minutos..
Telam;"Peña al kirchnerismo: ""No habrá cepos ni controles de cambio""";http://www.telam.com.ar/advf/imagenes/2019/04/5cae298a86991.jpg;"El jefe de Gabinete, Marcos Peña, cruzó hoy fuertemente al kirchnerismo en la Cámara de Diputados, ratificó el rumbo de la política económica del gobierno de Mauricio Macri y aseguró que el Poder Ejecutivo no cree &amp;ldquo;en los cepos ni controles de cambios""."
Telam;"Frigerio negó congelamiento de precios y otras medidas que ""fracasaron en 80 años""";http://www.telam.com.ar/advf/imagenes/2019/02/5c5c682d77ac3.jpg;El ministro del Interior, Obras Públicas y Vivienda, habló a la prensa tras finalizar la reunión de gabinete en la Quinta de Olivos.
Telam;"Para EE.UU., Maduro es ""una verdadera amenaza"" y su tiempo ""se terminó""";http://www.telam.com.ar/advf/imagenes/2017/11/59fc722c441fb.jpg;Así definió el vicepresidente Mike Pence al presidente caribeño ante el embajador venezolano en la ONU.
Telam;Líderes europeos debaten un nuevo retraso del Brexit;http://www.telam.com.ar/advf/imagenes/2018/11/5bfbda581cb46.jpg;La mayoría de los líderes de la UE han insinuado que aceptan una extensión siempre que Londres se comprometa a no obstruir desde adentro las políticas del bloque como forma de obtener concesiones mientras termina de negociar su partida con Bruselas.
Telam;La OIT celebra su centenario en una jornada con funcionarios y sindicalistas;http://www.telam.com.ar/advf/imagenes/2015/06/557078e01bb37.jpg;"Será este jueves en Buenos Aires con ""un debate sobre el futuro del empleo""."
Telam;El fútbol argentino ya tiene la forma de disputa de la temporada 2019/20;http://www.telam.com.ar/advf/imagenes/2018/05/5afc1bbcbe6ca.jpg;En el segundo semestre del año se jugará un campeonato de 23 fechas de una sola vuelta con la participación de los 22 equipos que permanecieron en la categoría más los dos que ascenderán de la Primera B Nacional.
Telam;Un equipo argentino compite en el Mundial de la Pizza Parma 2019;http://www.telam.com.ar/advf/imagenes/2017/09/59c854a7e5fd8.jpg;"La selección argentina obtuvo el año pasado el 4° puesto en ""Pizza Napolitana"" sobre 112 participantes, 4° en ""Velocidad"" sobre 33 participantes y 9° en ""Pizza sin gluten"" entre 69 participantes."
Telam;"Dietrich: ""Hacer un paro el día feriado no resuelve los problemas""";http://www.telam.com.ar/advf/imagenes/2016/12/5857b11c4818f.jpg;El ministro de Transporte se refirió a la medida planteada por la CATT para el 1° de Mayo, cuando no funcionarán los trenes, colectivos, vuelos aerocomerciales, subterráneos y embarcaciones. 
Telam;"Trump dijo que el Rusiagate fue un ""intento de golpe"" y pidió investigarlo";http://www.telam.com.ar/advf/imagenes/2019/01/5c2d4a068be52.jpg;"El presidente estadounidense dijo que la investigación sobre si Rusia lo ayudó a ganar las elecciones fue un ""intento de golpe"", mientras que su fiscal general dijo creer que el FBI espió la campaña del mandatario y prometió investigarlo."
Telam;JetSmart comenzó a operar vuelos de cabotaje con un servicio inaugural a Mendoza;http://www.telam.com.ar/advf/imagenes/2019/04/5cae6845a06d2.jpg;"Tras un vuelo inaugural a la ciudad de Mendoza el CEO de JetSmart, puntualizó que ""el cliente decide qué quiere comprar, y paga solo por lo que usa"", en referencia al nuevo Airbus A320 que la compañía opera."
Telam;Retirarán a domicilio residuos en las zonas con mayor cantidad de edificios;http://www.telam.com.ar/advf/imagenes/2018/05/5afc4fa46db9e.jpg;Los recuperadores urbanos retirarán, entre las 18 y 20 horas, los materiales reciclables en las zonas de mayor densidad y donde se concentran oficinas, hoteles, supermercados y locales gastronómicos.
Telam;El 66% de las mujeres argentinas usa anticonceptivos modernos, según la ONU;http://www.telam.com.ar/advf/imagenes/2015/08/55c1fe4db9283.jpg;El dato surge de un informe de las Naciones Unidas, que advierte además que en el mundo unas 200 millones de mujeres siguen sin tener acceso a métodos y servicios contraceptivos.
Telam;Samid seguirá preso en Ezeiza mientras resuelven su excarcelación;http://www.telam.com.ar/advf/imagenes/2019/04/5cadf33b63d33.jpg;El empresario de la carne Alberto Samid será trasladado al penal de Ezeiza, mientras el tribunal que lo juzga por asociación ilícita para evadir impuestos deberá decidir si acepta o rechaza su pedido de excarcelación.
Telam;Con nuevos espacios y luego de reformas estructurales reabre el Bellas Artes;http://www.telam.com.ar/advf/imagenes/2019/04/5cae3664e0a38.jpg;La reinauguración se realizará al público este viernes, y puede visitarse de martes a viernes, de 11 a 20, y los sábados y domingos, de 10 a 20.
Clarin;BBVA: el desempleo y la inflación seguirán creciendo;http://www.clarin.com/economia/bbva-desempleo-inflacion-seguiran-creciendo_0_sS2mn-qOK.html;Para el banco, la desocupación rondará el 11% en el segundo trimestre y la inflación un 35% a fin de año
Clarin;Una chica de 13 años sufrió un abuso sexual en el hospital Evita de Lanús;http://www.clarin.com/sociedad/chica-13-anos-sufrio-abuso-sexual-hospital-evita-lanus_0_2nL1YHsO6.html;La menor cuidaba a un familiar. Cuando bajó al bufet, un hombre la atacó.
Clarin;Campaña contra la hepatitis C: con 5.000 tests gratuitos buscan encontrar a los argentinos que tienen el virus y no lo saben;http://www.clarin.com/sociedad/campana-hepatitis-000-tests-gratuitos-buscan-encontrar-argentinos-virus-saben_0_0UnIP0a_V.html;"El virus actúa ""en silencio"" y cuando se manifiesta puede terminar en cirrosis, hasta el extremo de que el paciente necesite un trasplante. "
Clarin;Incendio en Notre Dame: qué se sabe y qué no;http://www.clarin.com/mundo/incendio-notre-dame-sabe_0_XbPsJuF4W.html;El balance tras una verdadera tragedia cultural.
Clarin;¿Por qué genera tanto estrés una mudanza?;http://www.clarin.com/entremujeres/hogar-y-familia/mudanza-duelo-ninos-casa-hogar_0_cFKw6en6H.html;Se trata de un duelo donde se ponen en juego diversos factores. La doctora María Olga Barcones Giani, psiquiatra, explicó a Entremujeres los detalles de este proceso.
Clarin;Día del Malbec: guía para maridarlo hasta con pescados y postres;http://www.clarin.com/sociedad/dia-malbec-guia-maridarlo-pescados-postres_0_05DbvRyuU.html;La cepa insignia de la Argentina festeja mañana y ofrece muchas más posibilidades que sólo acompañar un asado. Varios expertos recomiendan cómo explorarlas. 
Clarin;"El hombre asesinado por ""el pájaro más peligroso del mundo"" lo tenía en su granja sin permiso";http://www.clarin.com/sociedad/hombre-asesinado-pajaro-peligroso-mundo-granja-permiso_0_6sbLSGB9V.html;Lo confirmaron las autoridades locales. La víctima, de 75 años, se valió de una exención que favorece a los criadores. Los detalles.
Clarin;"El gremio de los pilotos se suma al paro del 30 de abril: ""La totalidad de los vuelos van a estar afectados""";http://www.clarin.com/politica/gremio-pilotos-suma-paro-30-abril-totalidad-vuelos-van-afectados_0_BW_KjUTwZ.html;Por otra parte, un miembro de la CGT descartó la adhesión a la medida convocada por Moyano y las dos CTA.
Clarin;Barcelona-Manchester United, por la Champions League: horario, TV y formaciones;http://www.clarin.com/deportes/futbol-internacional/barcelona-manchester-united-champions-league-horario-tv-formaciones_0_mcA4cStyD.html;El rosarino no convierte en cuartos de final desde 2013 y el Barcelona no pasó de ronda en las últimas tres ediciones
Clarin;El Gobierno amplía en más de $ 15.000 millones el Presupuesto;http://www.clarin.com/economia/economia/gobierno-amplia-15-000-millones-presupuesto_0_Dk6bTmYDp.html;El grueso de los fondos se financiará con créditos de organismos internacionales y de China. 
Pagina12;Salta también se despega de la presidencial;https://www.pagina12.com.ar/187819-salta-tambien-se-despega-de-la-presidencial;El precandidato de Alternativa Federal se sumó al pelotón de provincias que no votará junto con las nacionales. Por ahora, es la única que irá a las urnas después de octubre.
Pagina12;El cuñado de Julio De Vido sufrió un infarto en la cárcel;https://www.pagina12.com.ar/187816-el-cunado-de-julio-de-vido-sufrio-un-infarto-en-la-carcel;"El hermano de Alessandra Minnicelli, esposa del ex ministro, había pedido la prisión domiciliaria pero los jueces se la negaron. Está preso por la causa de la ""mafia de los contenedores"", una de las tantas en las que operó el falso abogado Marcelo D'Alessio."
Pagina12;El fiscal que participó de secuestros y torturas;https://www.pagina12.com.ar/187757-el-fiscal-que-participo-de-secuestros-y-torturas;El fiscal general de Mar del Plata, Fabián Fernández Garello, quedó procesado como “partícipe necesario” de crímenes en perjuicio de militantes del PC durante la dictadura.
Pagina12;A favor de replicar la unidad a nivel nacional;https://www.pagina12.com.ar/187758-a-favor-de-replicar-la-unidad-a-nivel-nacional;El gobernador evaluó que la unidad amplia sellada en Entre Ríos, y en provincias como San Juan, es la mejor propuesta para generar expectativas en el electorado.
Pagina12;“El consenso es sin exclusiones”;https://www.pagina12.com.ar/187759-el-consenso-es-sin-exclusiones;La precandidata calificó la gestión socialista como “antiperonismo” y criticó a quienes quieren dejar afuera de la unidad a Cristina Kirchner.
Pagina12;Para quién espiaba la banda de D'Alessio;https://www.pagina12.com.ar/194371-un-delivery-de-espionaje-ilegal; | Las revelaciones del espía arrepentido Barreiro
Pagina12;Aguad ahora culpa a los submarinistas;https://www.pagina12.com.ar/194464-ara-san-juan-aguad-ahora-culpa-a-los-submarinistas; | Dijo que el hundimiento del ARA San Juan fue por “falta de adiestramiento”
Pagina12;Operación prensa;https://www.pagina12.com.ar/194377-operacion-prensa; | Tras las presiones, la Corte informó que no suspendió el juicio a CFK
Pagina12;La Corte devolvió el expediente del juicio a Cristina Kirchner;https://www.pagina12.com.ar/194470-la-corte-suprema-devolvio-el-expediente-del-juicio-a-cristin; | Realizó una copia de la causa y la regresó al Tribunal Oral Federal 2
Pagina12;El debido proceso te lo debo;https://www.pagina12.com.ar/194335-el-debido-proceso-te-lo-debo; | La operación del Gobierno hizo crujir el Estado de Derecho
Pagina12;Marcos Peña salió al cruce de los radicales;https://www.pagina12.com.ar/194463-marcos-pena-salio-al-cruce-de-los-radicales;" | ""El liderazgo de Macri es incuestionable"""
Pagina12;El peronismo confía en otro triunfo en La Pampa;https://www.pagina12.com.ar/194366-el-peronismo-confia-en-otro-triunfo-en-la-pampa; | Sergio Ziliotto es favorito para las elecciones del domingo
Pagina12;Impugnan a un candidato del PRO al Tribunal Superior porteño;https://www.pagina12.com.ar/194465-impugnan-a-un-candidato-del-pro-al-tribunal-superior-porteno; | Memoria Activa rechazó la designación de Santiago Otamendi
Pagina12;Las tetas y el cáncer;https://www.pagina12.com.ar/194276-no-es-color-de-rosa; | Lo que se dice y lo que se oculta cada vez que se nombra el cáncer de mama
Pagina12;Una investigación que protegió al abusador;https://www.pagina12.com.ar/194183-en-linea-sap; | La justicia ignoró el relato de una niña en Cámara Gesell
Pagina12;La gran Madre de todas las batallas;https://www.pagina12.com.ar/194381-la-gran-madre-de-todas-las-batallas; | En el Bauen se presentó la biografía de Nora Cortiñas
Pagina12;Detenida por el parecido con una persona buscada;https://www.pagina12.com.ar/194339-detenida-por-el-parecido-con-una-persona-buscada; | Una mujer erróneamente detectada por el sistema de Reconocimiento Facial
Pagina12;¿Quién estuvo más tiempo en el Trono de Hierro?;https://www.pagina12.com.ar/194456-game-of-thrones-quien-estuvo-mas-tiempo-en-el-trono-de-hierr; | A horas del final de Game of Thrones
Pagina12;"""Amo la música de los 2000""";https://www.pagina12.com.ar/194455-amo-la-musica-de-los-2000; | Las mil formas de Nathy Peluso: cantante urbana, referencia feminista e icono generacional
Pagina12;¿Vida privada? ¿O privadxs de vida?;https://www.pagina12.com.ar/194000-vida-privada-o-privadxs-de-vida; | La televisión argentina: un compendio de discriminaciones, homofobia y transfobia
Pagina12;De todo como en Venecia;https://www.pagina12.com.ar/194002-de-todo-como-en-venecia; | Lo bueno, lo TRISTE y lo raro en la Bienal de Venecia
Pagina12;“Estoy en contra del lado light de la vida”;https://www.pagina12.com.ar/194020-estoy-en-contra-del-lado-light-de-la-vida; | Liliana Felipe habla de los cortocircuitos entre feminismos, transfobia y veganismo
Pagina12;Un mapa de los crímenes de odio en Argentina;https://www.pagina12.com.ar/194027-las-muertes-nuestras-de-cada-dia; | En 2019 ya hubo 32 travesticidios
Pagina12;Antorchas contra el ajuste de Macri;https://www.pagina12.com.ar/194355-antorchas-contra-el-ajuste-de-macri; | Una multitud en defensa del sistema universitario
Pagina12;Otra condena para la persecución;https://www.pagina12.com.ar/194362-otra-condena-para-la-persecucion; | La Justicia de Morales declaró culpable a Milagro Sala
Pagina12;“¡Estoy caceroleando al cuete!”;https://www.pagina12.com.ar/194263-estoy-caceroleando-al-cuete; | Una mujer protestó en soledad en Tribunales
